Name,County,FIPS,Municipality,Address,Longitude,Latitude,Source,Notes
Swedesboro Brewing Company,Gloucester,34015,Swedesboro,"95 Woodstown Road, Swedesboro, NJ 08085",,,Visit South Jersey,
Nerd Mall,Gloucester,34015,Woodbury,"164 S Broad St, Woodbury, NJ 08096",,,Visit South Jersey,
Wenonah Farmers Market In the Park,Gloucester,34015,Wenonah,"7 W Mantua Ave, Wenonah, NJ 08090",,,Visit South Jersey,
William Heritage Winery,Gloucester,34015,Mullica Hill,"480 Mullica Hill Rd, Mullica Hill, NJ 08062",,,Visit South Jersey,
Westville Brewery,Gloucester,34015,Westville,"201 Broadway Suite B, Westville, NJ 08093",,,Visit South Jersey,
Kelly Green Brewing Co.,Gloucester,34015,Pitman,"154 South Broadway, Pitman, NJ 08071",,,Visit South Jersey,
Death of the Fox Brewing Company,Gloucester,34015,Clarksboro,"119 Berkley Road, Clarksboro, NJ 08020",,,Visit South Jersey,
Core3 Brewery,Gloucester,34015,Clayton,"609 N. Delsea Drive, Clayton, NJ 08312",,,Visit South Jersey,
Independent Spirits Distillery,Gloucester,34015,Woolwich Township,"131 Davidson Rd, Woolwich Township, NJ 08085",,,Visit South Jersey,
Laurel Market Pitman,Gloucester,34015,Pitman,"52 S Broadway, Pitman, NJ 08071",,,Visit South Jersey,
MADE. Artisan Marketplace,Gloucester,34015,Woodbury,"65 N Broad St, Woodbury, NJ 08096",,,Visit South Jersey,
The Music Barn,Gloucester,34015,Mullica Hill,"275 NJ-77, Mullica Hill, NJ 08302",,,Visit South Jersey,
Neck of the Woods Brewing,Gloucester,34015,Pitman,"614 Lambs Road, Suite 7, Pitman, NJ 08071",,,Visit South Jersey,
Human Village Brewing Co.,Gloucester,34015,Pitman,"148 South Broadway, Pitman, NJ 08071",,,Visit South Jersey,
Cross Keys Brewing Co.,Gloucester,34015,Williamstown,"1038 North Main Street, Williamstown, NJ 08094",,,Visit South Jersey,
Bonesaw Brewing Co.,Gloucester,34015,Glassboro,"570 Mullica Hill Road, Glassboro, NJ 08028",,,Visit South Jersey,
Axe & Arrow Brewing,Gloucester,34015,Glassboro,"105 West High Street, Glassboro, NJ 08028",,,Visit South Jersey,
